Motivo da viagem,Acompanhantes por faixa etária,Atrativos visitados,Data de chegada,Data de partida,Cidade e estado de origem,Grau de escolaridade,Ocupação profissional,Renda familiar,Gasto médio diário em Olímpia,Perfil_Latente_Gerador
Lazer,Família com crianças,Parques aquáticos,2025-01-02,2025-01-08,São Paulo - SP,Pós-graduação,Empresário/Profissional Liberal,Mais de 10 salários mínimos,731.89,Familia de parques aquaticos
Lazer,Família com crianças,Parques aquáticos,2025-07-01,2025-07-06,Campinas - SP,Pós-graduação,Empresário/Profissional Liberal,Mais de 10 salários mínimos,894.39,Familia de parques aquaticos
Lazer,Família com crianças,Parques aquáticos,2025-07-27,2025-08-03,Goiânia - GO,Superior Completo,Aposentado,Até 3 salários mínimos,666.6,Familia de parques aquaticos
Lazer,Sozinho,Parques aquáticos,2025-07-04,2025-07-08,São Paulo - SP,Superior Completo,Estudante,6 a 10 salários mínimos,748.61,Familia de parques aquaticos
Negócios,Sozinho,Hoteis,2025-02-10,2025-02-11,Campinas - SP,Superior Incompleto,Estudante,Até 3 salários mínimos,204.95,Turista Corporativo
Lazer,Família com crianças,"Restaurantes, parques, saídas à noite",2025-05-02,2025-05-06,São Paulo - SP,Superior Completo,Estudante,6 a 10 salários mínimos,694.01,Casal de fim de semana
Lazer,Família com crianças,Conhecer pontos turísticos principais,2025-12-03,2025-12-09,Campinas - SP,Superior Completo,Servidor Público,Mais de 10 salários mínimos,793.65,Familia de parques aquaticos
Lazer,Grupo de amigos,Parques aquáticos,2025-07-31,2025-08-07,Campinas - SP,Ensino Médio,Empresário/Profissional Liberal,3 a 6 salários mínimos,431.68,Familia de parques aquaticos
Lazer,Família com crianças,Parques aquáticos,2025-07-16,2025-07-22,São José do Rio Preto - SP,Pós-graduação,Assalariado,Até 3 salários mínimos,756.9,Familia de parques aquaticos
Saúde/Bem-estar,Sozinho,Hoteis,2025-05-13,2025-05-15,São Paulo - SP,Ensino Médio,Assalariado,Mais de 10 salários mínimos,216.27,Turista Corporativo
Saúde/Bem-estar,Casal,"Restaurantes, parques, saídas à noite",2025-07-04,2025-07-08,Curitiba - PR,Superior Incompleto,Empresário/Profissional Liberal,6 a 10 salários mínimos,542.58,Casal de fim de semana
Lazer,Família com crianças,Participar de eventos da cidade,2025-01-25,2025-02-01,São Paulo - SP,Superior Completo,Servidor Público,Até 3 salários mínimos,862.78,Familia de parques aquaticos
Lazer,Casal,"Restaurantes, parques, saídas à noite",2025-11-16,2025-11-20,São Paulo - SP,Superior Incompleto,Estudante,Até 3 salários mínimos,367.1,Casal de fim de semana
Visitar familiares,Sozinho,"Restaurantes, parques, saídas à noite",2025-09-08,2025-09-09,Goiânia - GO,Ensino Médio,Aposentado,Até 3 salários mínimos,178.08,Casal de fim de semana
Lazer,Família com crianças,Parques aquáticos,2025-07-24,2025-07-29,São Paulo - SP,Superior Completo,Assalariado,3 a 6 salários mínimos,621.65,Familia de parques aquaticos
Lazer,Família com crianças,Parques aquáticos,2025-09-15,2025-09-20,São José do Rio Preto - SP,Superior Incompleto,Empresário/Profissional Liberal,Até 3 salários mínimos,527.86,Familia de parques aquaticos
Lazer,Sozinho,Parques aquáticos,2025-12-26,2026-01-01,São Paulo - SP,Superior Completo,Aposentado,Até 3 salários mínimos,623.38,Familia de parques aquaticos
Eventos,Grupo de amigos,Participar de eventos da cidade,2025-08-21,2025-08-26,São Paulo - SP,Superior Incompleto,CLT,3 a 6 salários mínimos,373.54,Turista de Evento
Lazer,Família com crianças,Parques aquáticos,2025-09-01,2025-09-08,Campinas - SP,Ensino Médio,Aposentado,6 a 10 salários mínimos,594.99,Familia de parques aquaticos
Negócios,Sozinho,Hoteis,2025-11-12,2025-11-15,Curitiba - PR,Ensino Médio,Servidor Público,Mais de 10 salários mínimos,1984.82,Turista Corporativo
Lazer,Casal,Parques aquáticos,2025-01-26,2025-01-31,Curitiba - PR,Superior Incompleto,Servidor Público,6 a 10 salários mínimos,663.08,Familia de parques aquaticos
Lazer,Casal,Parques aquáticos,2025-07-11,2025-07-18,Ribeirão Preto - SP,Superior Completo,Servidor Público,Até 3 salários mínimos,482.77,Familia de parques aquaticos
Negócios,Sozinho,Parques aquáticos,2025-10-21,2025-10-25,São Paulo - SP,Superior Completo,Estudante,Até 3 salários mínimos,1437.02,Turista Corporativo
Visitar familiares,Família com crianças,Parques aquáticos,2025-07-19,2025-07-24,Curitiba - PR,Superior Completo,Assalariado,6 a 10 salários mínimos,705.04,Familia de parques aquaticos
Negócios,Sozinho,Participar de eventos da cidade,2025-11-11,2025-11-13,Campinas - SP,Superior Incompleto,Aposentado,6 a 10 salários mínimos,179.91,Turista Corporativo
Lazer,Família com crianças,Parques aquáticos,2025-12-17,2025-12-22,Campinas - SP,Ensino Médio,CLT,Até 3 salários mínimos,148.92,Familia de parques aquaticos
Lazer,Casal,"Restaurantes, parques, saídas à noite",2025-11-07,2025-11-11,São Paulo - SP,Superior Incompleto,Assalariado,6 a 10 salários mínimos,1281.45,Casal de fim de semana
Saúde/Bem-estar,Família com crianças,Parques aquáticos,2025-01-28,2025-02-01,São Paulo - SP,Superior Completo,Empresário/Profissional Liberal,Mais de 10 salários mínimos,787.46,Familia de parques aquaticos
Lazer,Família com crianças,Parques aquáticos,2025-07-22,2025-07-27,São Paulo - SP,Ensino Médio,Empresário/Profissional Liberal,Até 3 salários mínimos,118.42,Familia de parques aquaticos
Eventos,Casal,"Restaurantes, parques, saídas à noite",2025-04-06,2025-04-07,São Paulo - SP,Ensino Médio,Aposentado,3 a 6 salários mínimos,790.06,Casal de fim de semana
Lazer,Sozinho,Hoteis,2025-10-13,2025-10-14,São Paulo - SP,Ensino Médio,Servidor Público,Até 3 salários mínimos,211.56,Turista Corporativo
Visitar familiares,Família com crianças,Conhecer pontos turísticos principais,2025-10-06,2025-10-13,São Paulo - SP,Superior Completo,Estudante,Até 3 salários mínimos,1883.44,Turista econômico
Negócios,Sozinho,Hoteis,2025-09-23,2025-09-26,São Paulo - SP,Ensino Médio,Assalariado,Até 3 salários mínimos,128.24,Turista Corporativo
Lazer,Família com crianças,"Restaurantes, parques, saídas à noite",2025-01-11,2025-01-15,São Paulo - SP,Ensino Médio,Empresário/Profissional Liberal,Mais de 10 salários mínimos,512.19,Familia de parques aquaticos
Lazer,Casal,"Restaurantes, parques, saídas à noite",2025-11-13,2025-11-14,São Paulo - SP,Superior Completo,Estudante,6 a 10 salários mínimos,698.02,Casal de fim de semana
Visitar familiares,Casal,Participar de eventos da cidade,2025-12-29,2026-01-03,São Paulo - SP,Pós-graduação,Empresário/Profissional Liberal,Mais de 10 salários mínimos,991.59,Turista fiel premium
Lazer,Grupo de amigos,Conhecer pontos turísticos principais,2025-05-01,2025-05-02,Campinas - SP,Superior Completo,Empresário/Profissional Liberal,3 a 6 salários mínimos,718.75,Casal de fim de semana
Visitar familiares,Família com crianças,Conhecer pontos turísticos principais,2025-12-23,2025-12-31,Campinas - SP,Ensino Médio,CLT,Até 3 salários mínimos,248.83,Turista econômico
Lazer,Família com crianças,Parques aquáticos,2025-08-23,2025-08-28,São José do Rio Preto - SP,Pós-graduação,Empresário/Profissional Liberal,Mais de 10 salários mínimos,1277.19,Familia de parques aquaticos
Lazer,Família com crianças,Parques aquáticos,2025-07-02,2025-07-06,São Paulo - SP,Superior Completo,CLT,6 a 10 salários mínimos,506.01,Familia de parques aquaticos
Lazer,Grupo de amigos,Parques aquáticos,2025-07-11,2025-07-15,Campinas - SP,Ensino Médio,Assalariado,Mais de 10 salários mínimos,472.88,Familia de parques aquaticos
Lazer,Família com crianças,Parques aquáticos,2025-07-30,2025-08-03,São Paulo - SP,Superior Completo,Aposentado,Até 3 salários mínimos,756.37,Familia de parques aquaticos
Eventos,Grupo de amigos,Participar de eventos da cidade,2025-08-21,2025-08-26,São José do Rio Preto - SP,Superior Incompleto,CLT,3 a 6 salários mínimos,255.54,Turista de Evento
Visitar familiares,Grupo de amigos,Participar de eventos da cidade,2025-08-21,2025-08-27,Campinas - SP,Superior Completo,Empresário/Profissional Liberal,Até 3 salários mínimos,322.67,Turista de Evento
Visitar familiares,Família com crianças,Conhecer pontos turísticos principais,2025-07-23,2025-07-30,São Paulo - SP,Superior Completo,Servidor Público,Mais de 10 salários mínimos,192.61,Turista econômico
Lazer,Família com crianças,Parques aquáticos,2025-12-07,2025-12-11,São Paulo - SP,Superior Completo,Empresário/Profissional Liberal,6 a 10 salários mínimos,560.97,Familia de parques aquaticos
Visitar familiares,Casal,Conhecer pontos turísticos principais,2025-01-13,2025-01-21,Ribeirão Preto - SP,Superior Completo,Estudante,Até 3 salários mínimos,185.75,Turista econômico
Visitar familiares,Sozinho,Conhecer pontos turísticos principais,2025-01-18,2025-01-25,Belo Horizonte - MG,Ensino Médio,Estudante,3 a 6 salários mínimos,166.12,Turista econômico
Saúde/Bem-estar,Família com crianças,Parques aquáticos,2025-01-01,2025-01-05,São Paulo - SP,Ensino Médio,Estudante,6 a 10 salários mínimos,799.56,Familia de parques aquaticos
Lazer,Sozinho,Parques aquáticos,2025-12-31,2026-01-07,Campinas - SP,Superior Incompleto,Empresário/Profissional Liberal,Mais de 10 salários mínimos,772.22,Familia de parques aquaticos
Lazer,Família com crianças,Parques aquáticos,2025-07-21,2025-07-28,São Paulo - SP,Superior Completo,CLT,6 a 10 salários mínimos,597.53,Familia de parques aquaticos
Visitar familiares,Família com crianças,Conhecer pontos turísticos principais,2025-01-07,2025-01-13,Ribeirão Preto - SP,Ensino Médio,Empresário/Profissional Liberal,3 a 6 salários mínimos,172.63,Turista econômico
Lazer,Casal,Conhecer pontos turísticos principais,2025-01-17,2025-01-18,Belo Horizonte - MG,Pós-graduação,Empresário/Profissional Liberal,Até 3 salários mínimos,503.4,Casal de fim de semana
Lazer,Família com crianças,Parques aquáticos,2025-01-14,2025-01-21,São Paulo - SP,Pós-graduação,Servidor Público,Mais de 10 salários mínimos,1364.01,Familia de parques aquaticos
Lazer,Família com crianças,Parques aquáticos,2025-01-24,2025-01-31,São Paulo - SP,Superior Completo,Estudante,3 a 6 salários mínimos,757.27,Familia de parques aquaticos
Lazer,Casal,Parques aquáticos,2025-09-02,2025-09-07,Curitiba - PR,Superior Completo,Assalariado,6 a 10 salários mínimos,481.85,Familia de parques aquaticos
Lazer,Família com crianças,Parques aquáticos,2025-04-03,2025-04-08,São Paulo - SP,Superior Incompleto,Empresário/Profissional Liberal,3 a 6 salários mínimos,337.99,Familia de parques aquaticos
Lazer,Casal,"Restaurantes, parques, saídas à noite",2025-04-05,2025-04-06,São Paulo - SP,Pós-graduação,Assalariado,6 a 10 salários mínimos,701.38,Casal de fim de semana
Lazer,Família com crianças,Parques aquáticos,2025-07-02,2025-07-08,São Paulo - SP,Superior Completo,Servidor Público,6 a 10 salários mínimos,726.15,Familia de parques aquaticos
Lazer,Casal,Parques aquáticos,2025-06-05,2025-06-11,São Paulo - SP,Ensino Médio,Servidor Público,6 a 10 salários mínimos,637.07,Familia de parques aquaticos
Lazer,Casal,"Restaurantes, parques, saídas à noite",2025-05-01,2025-05-05,São Paulo - SP,Superior Completo,Empresário/Profissional Liberal,Mais de 10 salários mínimos,493.53,Casal de fim de semana
Eventos,Sozinho,Participar de eventos da cidade,2025-08-18,2025-08-22,São Paulo - SP,Pós-graduação,Estudante,3 a 6 salários mínimos,338.46,Turista de Evento
Visitar familiares,Família com crianças,Parques aquáticos,2025-12-31,2026-01-02,Campinas - SP,Pós-graduação,Estudante,Até 3 salários mínimos,881.79,Turista fiel premium
Lazer,Família com crianças,Parques aquáticos,2025-01-12,2025-01-19,Goiânia - GO,Pós-graduação,Estudante,Até 3 salários mínimos,421.45,Familia de parques aquaticos
Eventos,Família com crianças,Conhecer pontos turísticos principais,2025-12-15,2025-12-20,Campinas - SP,Ensino Médio,Estudante,6 a 10 salários mínimos,648.71,Familia de parques aquaticos
Lazer,Família com crianças,Parques aquáticos,2025-12-26,2026-01-02,Belo Horizonte - MG,Ensino Médio,Empresário/Profissional Liberal,Mais de 10 salários mínimos,668.81,Familia de parques aquaticos
Lazer,Casal,"Restaurantes, parques, saídas à noite",2025-05-01,2025-05-04,Curitiba - PR,Superior Completo,Empresário/Profissional Liberal,6 a 10 salários mínimos,698.6,Casal de fim de semana
Visitar familiares,Família com crianças,"Restaurantes, parques, saídas à noite",2025-06-02,2025-06-06,São Paulo - SP,Pós-graduação,Aposentado,Até 3 salários mínimos,1707.43,Turista fiel premium
Visitar familiares,Família com crianças,Hoteis,2025-12-24,2025-12-29,São Paulo - SP,Superior Completo,Servidor Público,Mais de 10 salários mínimos,500.73,Turista fiel premium
Lazer,Grupo de amigos,"Restaurantes, parques, saídas à noite",2025-11-13,2025-11-14,Ribeirão Preto - SP,Pós-graduação,Servidor Público,6 a 10 salários mínimos,1043.45,Casal de fim de semana
Visitar familiares,Grupo de amigos,Hoteis,2025-12-30,2026-01-03,São Paulo - SP,Pós-graduação,Servidor Público,Mais de 10 salários mínimos,1026.8,Turista fiel premium
Lazer,Casal,Parques aquáticos,2026-01-01,2026-01-02,São Paulo - SP,Superior Incompleto,Estudante,6 a 10 salários mínimos,582.92,Casal de fim de semana
Eventos,Casal,"Restaurantes, parques, saídas à noite",2025-09-06,2025-09-07,Campinas - SP,Superior Completo,CLT,3 a 6 salários mínimos,442.16,Casal de fim de semana
Eventos,Grupo de amigos,"Restaurantes, parques, saídas à noite",2025-08-21,2025-08-25,Goiânia - GO,Superior Incompleto,Servidor Público,Mais de 10 salários mínimos,324.32,Turista de Evento
Lazer,Família com crianças,Parques aquáticos,2025-07-12,2025-07-16,São Paulo - SP,Pós-graduação,Assalariado,Até 3 salários mínimos,609.84,Familia de parques aquaticos
Negócios,Família com crianças,Conhecer pontos turísticos principais,2025-04-08,2025-04-14,Campinas - SP,Superior Incompleto,Empresário/Profissional Liberal,Mais de 10 salários mínimos,196.39,Familia de parques aquaticos
Eventos,Família com crianças,Hoteis,2025-02-15,2025-02-23,São Paulo - SP,Ensino Médio,Assalariado,Até 3 salários mínimos,168.13,Turista econômico
Visitar familiares,Família com crianças,Participar de eventos da cidade,2025-07-27,2025-08-03,São Paulo - SP,Superior Completo,Empresário/Profissional Liberal,Até 3 salários mínimos,238.63,Turista econômico
