Motivo da viagem,Acompanhantes por faixa etária,Atrativos visitados,Data de chegada,Data de partida,Cidade e estado de origem,Grau de escolaridade,Ocupação profissional,Renda familiar,Gasto médio diário em Olímpia,Perfil_Latente_Gerador
Lazer,Família com crianças,Restaurantes,2025-12-18,2025-12-22,Ribeirão Preto - SP,Superior Incompleto,Estudante,Até 3 salários mínimos,461.12,Familia de parques aquaticos
Lazer,Família com crianças,Parques de Entretenimento,2025-12-01,2025-12-06,São Paulo - SP,Pós-graduação,Empresário/Profissional Liberal,3 a 6 salários mínimos,569.09,Familia de parques aquaticos
Lazer,Família com crianças,Parques de Entretenimento,2025-07-04,2025-07-11,São Paulo - SP,Pós-graduação,CLT,3 a 6 salários mínimos,308.64,Familia de parques aquaticos
Visitar familiares,Sozinho,Hoteis,2025-02-21,2025-02-25,São Paulo - SP,Ensino Médio,Servidor Público,Até 3 salários mínimos,195.35,Turista Corporativo
Negócios,Casal,Hoteis,2025-08-25,2025-08-29,São Paulo - SP,Ensino Médio,Empresário/Profissional Liberal,Até 3 salários mínimos,238.81,Turista Corporativo
Lazer,Família com crianças,Parques de Entretenimento,2025-12-29,2026-01-04,São Paulo - SP,Superior Completo,CLT,6 a 10 salários mínimos,624.73,Familia de parques aquaticos
Lazer,Família com crianças,Hoteis,2025-07-24,2025-07-30,São Paulo - SP,Ensino Médio,Empresário/Profissional Liberal,6 a 10 salários mínimos,799.14,Familia de parques aquaticos
Lazer,Família com crianças,Hoteis,2025-07-15,2025-07-21,Ribeirão Preto - SP,Pós-graduação,Estudante,Até 3 salários mínimos,1832.94,Familia de parques aquaticos
Visitar familiares,Família com crianças,Pontos Culturais,2025-02-17,2025-02-24,São José do Rio Preto - SP,Superior Completo,CLT,Até 3 salários mínimos,115.96,Turista econômico
Lazer,Família com crianças,Pontos Turisticos,2025-02-17,2025-02-24,São Paulo - SP,Superior Completo,Empresário/Profissional Liberal,6 a 10 salários mínimos,239.36,Familia de parques aquaticos
Lazer,Casal,Pontos Turisticos,2025-12-18,2025-12-23,Belo Horizonte - MG,Superior Incompleto,Aposentado,3 a 6 salários mínimos,345.06,Familia de parques aquaticos
Eventos,Grupo de amigos,Hoteis,2025-08-20,2025-08-27,São Paulo - SP,Ensino Médio,Estudante,6 a 10 salários mínimos,608.02,Turista de Evento
Lazer,Casal,Hoteis,2025-12-28,2026-01-03,São Paulo - SP,Superior Incompleto,Estudante,3 a 6 salários mínimos,297.6,Familia de parques aquaticos
Visitar familiares,Família com crianças,Hoteis,2025-12-25,2025-12-30,Ribeirão Preto - SP,Pós-graduação,Empresário/Profissional Liberal,Até 3 salários mínimos,1836.6,Turista fiel premium
Lazer,Sozinho,Parques de Entretenimento,2025-07-14,2025-07-19,Belo Horizonte - MG,Superior Completo,Servidor Público,Mais de 10 salários mínimos,537.43,Familia de parques aquaticos
Saúde/Bem-estar,Sozinho,Centros de Evento,2025-05-02,2025-05-04,São Paulo - SP,Pós-graduação,Empresário/Profissional Liberal,6 a 10 salários mínimos,618.48,Casal de fim de semana
Eventos,Grupo de amigos,Pontos Culturais,2025-08-21,2025-08-26,São Paulo - SP,Superior Completo,Servidor Público,Até 3 salários mínimos,293.54,Turista de Evento
Lazer,Casal,Hoteis,2025-02-14,2025-02-16,Curitiba - PR,Superior Incompleto,Estudante,6 a 10 salários mínimos,263.59,Casal de fim de semana
Lazer,Família com crianças,Parques Aquáticos,2025-07-30,2025-08-05,Ribeirão Preto - SP,Superior Completo,Servidor Público,6 a 10 salários mínimos,700.67,Familia de parques aquaticos
Eventos,Grupo de amigos,Restaurantes,2025-07-04,2025-07-08,São Paulo - SP,Superior Completo,CLT,3 a 6 salários mínimos,627.06,Familia de parques aquaticos
Lazer,Sozinho,Hoteis,2025-12-21,2025-12-25,Belo Horizonte - MG,Ensino Médio,Empresário/Profissional Liberal,Mais de 10 salários mínimos,644.11,Familia de parques aquaticos
Visitar familiares,Família com crianças,Pontos Culturais,2025-01-22,2025-01-30,Ribeirão Preto - SP,Ensino Médio,Servidor Público,Mais de 10 salários mínimos,137.67,Turista econômico
Lazer,Casal,Centros de Evento,2025-09-08,2025-09-09,São Paulo - SP,Superior Incompleto,Servidor Público,3 a 6 salários mínimos,439.01,Casal de fim de semana
Visitar familiares,Casal,Hoteis,2025-01-21,2025-01-25,Belo Horizonte - MG,Pós-graduação,Aposentado,3 a 6 salários mínimos,1099.44,Turista fiel premium
Eventos,Grupo de amigos,Parques de Entretenimento,2025-08-19,2025-08-26,Belo Horizonte - MG,Pós-graduação,Assalariado,Até 3 salários mínimos,210.48,Turista de Evento
Visitar familiares,Família com crianças,Parques de Entretenimento,2025-08-29,2025-09-05,Belo Horizonte - MG,Superior Completo,CLT,Até 3 salários mínimos,237.77,Turista econômico
Lazer,Casal,Hoteis,2025-05-23,2025-05-26,Curitiba - PR,Superior Completo,Empresário/Profissional Liberal,Mais de 10 salários mínimos,589.89,Casal de fim de semana
Eventos,Grupo de amigos,Parques de Entretenimento,2025-08-20,2025-08-27,São Paulo - SP,Superior Incompleto,Assalariado,3 a 6 salários mínimos,352.28,Turista de Evento
Lazer,Família com crianças,Hoteis,2025-12-10,2025-12-15,São Paulo - SP,Superior Completo,Empresário/Profissional Liberal,6 a 10 salários mínimos,474.49,Familia de parques aquaticos
Negócios,Sozinho,Hoteis,2025-03-07,2025-03-09,Ribeirão Preto - SP,Pós-graduação,Servidor Público,Até 3 salários mínimos,241.05,Turista Corporativo
Lazer,Família com crianças,Parques de Entretenimento,2025-07-11,2025-07-18,Curitiba - PR,Superior Completo,Assalariado,6 a 10 salários mínimos,686.47,Familia de parques aquaticos
Lazer,Família com crianças,Hoteis,2025-12-25,2025-12-30,São Paulo - SP,Ensino Médio,Aposentado,3 a 6 salários mínimos,528.62,Familia de parques aquaticos
Visitar familiares,Família com crianças,Hoteis,2025-12-26,2025-12-31,Belo Horizonte - MG,Pós-graduação,Aposentado,Mais de 10 salários mínimos,977.09,Turista fiel premium
Visitar familiares,Família com crianças,Pontos Turisticos,2025-07-30,2025-08-05,São José do Rio Preto - SP,Pós-graduação,Aposentado,Até 3 salários mínimos,220.21,Turista econômico
