Acompanhantes por faixa etária,Atrativos visitados,Cidade e estado de origem,Data de chegada,Data de partida,Gasto médio diário em Olímpia,Grau de escolaridade,Motivo da viagem,Ocupação profissional,Perfil_Latente_Gerador,Renda familiar
Sozinho,Participar de eventos da cidade,São Paulo - SP,2021-05-02,2021-05-04,618.48,Pós-graduação,Saúde/Bem-estar,Empresário/Profissional Liberal,Casal de fim de semana,6 a 10 salários mínimos
Casal,Hoteis,Curitiba - PR,2021-02-12,2021-02-14,263.59,Superior Incompleto,Lazer,Estudante,Casal de fim de semana,6 a 10 salários mínimos
Casal,Participar de eventos da cidade,São Paulo - SP,2021-09-08,2021-09-09,439.01,Superior Incompleto,Lazer,Servidor Público,Casal de fim de semana,3 a 6 salários mínimos
Casal,Hoteis,Curitiba - PR,2021-05-23,2021-05-26,589.89,Superior Completo,Lazer,Empresário/Profissional Liberal,Casal de fim de semana,Mais de 10 salários mínimos
Casal,"Restaurantes, parques, saídas à noite",Goiânia - GO,2021-12-31,2022-01-01,942.14,Pós-graduação,Lazer,Empresário/Profissional Liberal,Casal de fim de semana,Mais de 10 salários mínimos
Sozinho,"Restaurantes, parques, saídas à noite",Campinas - SP,2021-12-11,2021-12-14,717.09,Superior Completo,Eventos,Servidor Público,Casal de fim de semana,3 a 6 salários mínimos
Casal,Parques aquáticos,Belo Horizonte - MG,2021-12-03,2021-12-05,700.81,Superior Completo,Lazer,Aposentado,Casal de fim de semana,6 a 10 salários mínimos
Casal,"Restaurantes, parques, saídas à noite",Campinas - SP,2021-12-29,2022-01-01,593.78,Pós-graduação,Lazer,Assalariado,Casal de fim de semana,6 a 10 salários mínimos
Casal,"Restaurantes, parques, saídas à noite",São Paulo - SP,2021-04-22,2021-04-24,572.54,Ensino Médio,Lazer,CLT,Casal de fim de semana,6 a 10 salários mínimos
Grupo de amigos,"Restaurantes, parques, saídas à noite",Ribeirão Preto - SP,2021-05-01,2021-05-05,568.43,Superior Completo,Lazer,Empresário/Profissional Liberal,Casal de fim de semana,6 a 10 salários mínimos
Casal,Parques aquáticos,Ribeirão Preto - SP,2021-09-05,2021-09-06,132.35,Pós-graduação,Negócios,Aposentado,Casal de fim de semana,Até 3 salários mínimos
Casal,"Restaurantes, parques, saídas à noite",Goiânia - GO,2021-11-15,2021-11-16,706.53,Superior Completo,Visitar familiares,Servidor Público,Casal de fim de semana,6 a 10 salários mínimos
Família com crianças,"Restaurantes, parques, saídas à noite",São Paulo - SP,2021-10-31,2021-11-04,640.95,Superior Completo,Eventos,Assalariado,Casal de fim de semana,6 a 10 salários mínimos
Casal,"Restaurantes, parques, saídas à noite",São Paulo - SP,2022-01-01,2022-01-04,1258.98,Pós-graduação,Eventos,Servidor Público,Casal de fim de semana,Mais de 10 salários mínimos
Casal,"Restaurantes, parques, saídas à noite",São José do Rio Preto - SP,2021-04-06,2021-04-07,515.86,Superior Completo,Lazer,Aposentado,Casal de fim de semana,6 a 10 salários mínimos
Casal,"Restaurantes, parques, saídas à noite",São Paulo - SP,2021-04-29,2021-04-30,325.85,Ensino Médio,Eventos,CLT,Casal de fim de semana,3 a 6 salários mínimos
Casal,"Restaurantes, parques, saídas à noite",São Paulo - SP,2021-02-18,2021-02-19,765.45,Superior Completo,Lazer,Empresário/Profissional Liberal,Casal de fim de semana,6 a 10 salários mínimos
Casal,"Restaurantes, parques, saídas à noite",Belo Horizonte - MG,2021-11-14,2021-11-17,733.06,Ensino Médio,Lazer,CLT,Casal de fim de semana,Até 3 salários mínimos
Casal,"Restaurantes, parques, saídas à noite",Curitiba - PR,2021-09-08,2021-09-10,641.3,Superior Incompleto,Lazer,Empresário/Profissional Liberal,Casal de fim de semana,6 a 10 salários mínimos
Casal,Participar de eventos da cidade,São Paulo - SP,2021-05-01,2021-05-05,707.37,Superior Completo,Lazer,CLT,Casal de fim de semana,6 a 10 salários mínimos
Casal,"Restaurantes, parques, saídas à noite",Belo Horizonte - MG,2021-09-06,2021-09-07,224.56,Ensino Médio,Lazer,Empresário/Profissional Liberal,Casal de fim de semana,Mais de 10 salários mínimos
Família com crianças,"Restaurantes, parques, saídas à noite",Goiânia - GO,2021-04-04,2021-04-06,791.97,Ensino Médio,Lazer,Aposentado,Casal de fim de semana,6 a 10 salários mínimos
Casal,"Restaurantes, parques, saídas à noite",Campinas - SP,2021-05-01,2021-05-04,581.77,Superior Incompleto,Negócios,Assalariado,Casal de fim de semana,6 a 10 salários mínimos
Casal,Conhecer pontos turísticos principais,Curitiba - PR,2021-11-14,2021-11-17,527.83,Superior Completo,Lazer,Assalariado,Casal de fim de semana,6 a 10 salários mínimos
Grupo de amigos,"Restaurantes, parques, saídas à noite",Goiânia - GO,2021-10-31,2021-11-03,727.24,Superior Completo,Lazer,Estudante,Casal de fim de semana,6 a 10 salários mínimos
Casal,"Restaurantes, parques, saídas à noite",Ribeirão Preto - SP,2021-11-16,2021-11-20,641.55,Superior Incompleto,Saúde/Bem-estar,Assalariado,Casal de fim de semana,6 a 10 salários mínimos
Casal,"Restaurantes, parques, saídas à noite",Campinas - SP,2021-11-16,2021-11-17,666.19,Superior Completo,Lazer,Estudante,Casal de fim de semana,6 a 10 salários mínimos
Casal,"Restaurantes, parques, saídas à noite",Ribeirão Preto - SP,2021-04-29,2021-04-30,761.6,Superior Incompleto,Lazer,Servidor Público,Casal de fim de semana,Até 3 salários mínimos
Casal,"Restaurantes, parques, saídas à noite",Ribeirão Preto - SP,2021-04-21,2021-04-22,704.33,Superior Completo,Visitar familiares,CLT,Casal de fim de semana,6 a 10 salários mínimos
