Acompanhantes por faixa etária,Atrativos visitados,Cidade e estado de origem,Data de chegada,Data de partida,Gasto médio diário em Olímpia,Grau de escolaridade,Motivo da viagem,Ocupação profissional,Perfil_Latente_Gerador,Renda familiar
Família com crianças,Conhecer pontos turísticos principais,São José do Rio Preto - SP,2021-02-17,2021-02-24,115.96,Superior Completo,Visitar familiares,CLT,Turista econômico,Até 3 salários mínimos
Família com crianças,Conhecer pontos turísticos principais,Ribeirão Preto - SP,2021-01-22,2021-01-30,137.67,Ensino Médio,Visitar familiares,Servidor Público,Turista econômico,Mais de 10 salários mínimos
Família com crianças,Hoteis,Belo Horizonte - MG,2021-08-29,2021-09-05,237.77,Superior Completo,Visitar familiares,CLT,Turista econômico,Até 3 salários mínimos
Família com crianças,Conhecer pontos turísticos principais,São José do Rio Preto - SP,2021-07-30,2021-08-05,220.21,Pós-graduação,Visitar familiares,Aposentado,Turista econômico,Até 3 salários mínimos
Família com crianças,Conhecer pontos turísticos principais,Ribeirão Preto - SP,2021-11-18,2021-11-24,1219.95,Pós-graduação,Visitar familiares,Servidor Público,Turista econômico,Mais de 10 salários mínimos
Casal,Conhecer pontos turísticos principais,Curitiba - PR,2021-07-19,2021-07-26,138.44,Superior Incompleto,Visitar familiares,Assalariado,Turista econômico,Até 3 salários mínimos
Grupo de amigos,Conhecer pontos turísticos principais,São José do Rio Preto - SP,2021-07-14,2021-07-21,244.82,Superior Completo,Visitar familiares,Aposentado,Turista econômico,Até 3 salários mínimos
Família com crianças,Conhecer pontos turísticos principais,São José do Rio Preto - SP,2021-08-19,2021-08-28,145.93,Ensino Médio,Visitar familiares,Aposentado,Turista econômico,Até 3 salários mínimos
Família com crianças,Conhecer pontos turísticos principais,São Paulo - SP,2021-07-21,2021-07-28,739.32,Superior Incompleto,Visitar familiares,Assalariado,Turista econômico,Até 3 salários mínimos
Família com crianças,Conhecer pontos turísticos principais,Ribeirão Preto - SP,2021-01-09,2021-01-18,189.71,Superior Completo,Negócios,Empresário/Profissional Liberal,Turista econômico,6 a 10 salários mínimos
Família com crianças,Conhecer pontos turísticos principais,São Paulo - SP,2021-12-13,2021-12-19,181.39,Ensino Médio,Visitar familiares,Aposentado,Turista econômico,Até 3 salários mínimos
Sozinho,Conhecer pontos turísticos principais,São Paulo - SP,2021-07-19,2021-07-27,113.52,Superior Completo,Visitar familiares,CLT,Turista econômico,Até 3 salários mínimos
Família com crianças,Conhecer pontos turísticos principais,Campinas - SP,2021-01-30,2021-02-08,1154.17,Pós-graduação,Visitar familiares,Empresário/Profissional Liberal,Turista econômico,Mais de 10 salários mínimos
