Acompanhantes por faixa etária,Atrativos visitados,Cidade e estado de origem,Data de chegada,Data de partida,Gasto médio diário em Olímpia,Grau de escolaridade,Motivo da viagem,Ocupação profissional,Perfil_Latente_Gerador,Renda familiar
Grupo de amigos,Participar de eventos da cidade,São Paulo - SP,2021-08-20,2021-08-27,608.02,Ensino Médio,Eventos,Estudante,Turista de Evento,6 a 10 salários mínimos
Grupo de amigos,Participar de eventos da cidade,São Paulo - SP,2021-08-21,2021-08-26,293.54,Superior Completo,Eventos,Servidor Público,Turista de Evento,Até 3 salários mínimos
Grupo de amigos,Participar de eventos da cidade,Belo Horizonte - MG,2021-08-19,2021-08-26,210.48,Pós-graduação,Eventos,Assalariado,Turista de Evento,Até 3 salários mínimos
Grupo de amigos,Participar de eventos da cidade,São Paulo - SP,2021-08-20,2021-08-27,352.28,Superior Incompleto,Eventos,Assalariado,Turista de Evento,3 a 6 salários mínimos
Grupo de amigos,Participar de eventos da cidade,Campinas - SP,2021-08-21,2021-08-26,513.61,Superior Completo,Eventos,Servidor Público,Turista de Evento,6 a 10 salários mínimos
Família com crianças,Participar de eventos da cidade,São Paulo - SP,2021-08-19,2021-08-25,357.17,Superior Incompleto,Eventos,Aposentado,Turista de Evento,3 a 6 salários mínimos
Família com crianças,Participar de eventos da cidade,Campinas - SP,2021-08-21,2021-08-28,382.74,Pós-graduação,Eventos,Empresário/Profissional Liberal,Turista de Evento,6 a 10 salários mínimos
Casal,Participar de eventos da cidade,Ribeirão Preto - SP,2021-08-20,2021-08-24,1589.88,Pós-graduação,Eventos,Assalariado,Turista de Evento,6 a 10 salários mínimos
Sozinho,Participar de eventos da cidade,Goiânia - GO,2021-04-28,2021-05-04,288.03,Superior Completo,Eventos,Assalariado,Turista de Evento,3 a 6 salários mínimos
Família com crianças,Participar de eventos da cidade,São José do Rio Preto - SP,2021-08-19,2021-08-24,296.6,Superior Completo,Visitar familiares,Servidor Público,Turista de Evento,3 a 6 salários mínimos
Sozinho,Participar de eventos da cidade,São José do Rio Preto - SP,2021-08-20,2021-08-25,435.46,Superior Completo,Saúde/Bem-estar,Empresário/Profissional Liberal,Turista de Evento,3 a 6 salários mínimos
Casal,Participar de eventos da cidade,Goiânia - GO,2021-08-21,2021-08-26,267.24,Pós-graduação,Eventos,Estudante,Turista de Evento,3 a 6 salários mínimos
Sozinho,Participar de eventos da cidade,São José do Rio Preto - SP,2021-08-19,2021-08-24,394.13,Superior Completo,Eventos,Empresário/Profissional Liberal,Turista de Evento,3 a 6 salários mínimos
Família com crianças,Participar de eventos da cidade,São José do Rio Preto - SP,2021-08-21,2021-08-27,292.8,Superior Incompleto,Eventos,Servidor Público,Turista de Evento,6 a 10 salários mínimos
Casal,Participar de eventos da cidade,São Paulo - SP,2021-09-01,2021-09-08,401.18,Superior Incompleto,Saúde/Bem-estar,Empresário/Profissional Liberal,Turista de Evento,3 a 6 salários mínimos
Grupo de amigos,Participar de eventos da cidade,São Paulo - SP,2021-08-18,2021-08-22,298.19,Superior Incompleto,Lazer,Aposentado,Turista de Evento,3 a 6 salários mínimos
Sozinho,Participar de eventos da cidade,São José do Rio Preto - SP,2021-08-21,2021-08-27,328.59,Superior Incompleto,Eventos,Estudante,Turista de Evento,3 a 6 salários mínimos
Casal,Participar de eventos da cidade,São Paulo - SP,2021-08-21,2021-08-28,417.98,Ensino Médio,Eventos,CLT,Turista de Evento,3 a 6 salários mínimos
Casal,Participar de eventos da cidade,Ribeirão Preto - SP,2021-08-21,2021-08-27,399.58,Superior Incompleto,Saúde/Bem-estar,Aposentado,Turista de Evento,3 a 6 salários mínimos
Casal,Participar de eventos da cidade,São Paulo - SP,2021-08-19,2021-08-25,387.12,Superior Incompleto,Eventos,Empresário/Profissional Liberal,Turista de Evento,Mais de 10 salários mínimos
Família com crianças,Participar de eventos da cidade,São Paulo - SP,2021-08-18,2021-08-22,395.23,Superior Incompleto,Eventos,Servidor Público,Turista de Evento,3 a 6 salários mínimos
Casal,Participar de eventos da cidade,Ribeirão Preto - SP,2021-08-21,2021-08-25,413.41,Pós-graduação,Visitar familiares,Empresário/Profissional Liberal,Turista de Evento,6 a 10 salários mínimos
Casal,"Restaurantes, parques, saídas à noite",São Paulo - SP,2021-07-26,2021-07-31,262.48,Pós-graduação,Eventos,Servidor Público,Turista de Evento,Mais de 10 salários mínimos
Família com crianças,"Restaurantes, parques, saídas à noite",São Paulo - SP,2021-08-20,2021-08-27,337.04,Superior Incompleto,Negócios,Estudante,Turista de Evento,3 a 6 salários mínimos
Casal,Participar de eventos da cidade,São Paulo - SP,2021-12-23,2021-12-30,340.88,Superior Completo,Eventos,CLT,Turista de Evento,3 a 6 salários mínimos
