Acompanhantes por faixa etária,Atrativos visitados,Cidade e estado de origem,Data de chegada,Data de partida,Gasto médio diário em Olímpia,Grau de escolaridade,Motivo da viagem,Ocupação profissional,Perfil_Latente_Gerador,Renda familiar
Casal,Pontos Culturais,São José do Rio Preto - SP,2021-02-19,2021-02-23,114.05,Superior Incompleto,Lazer,Assalariado,Casal de fim de semana,Até 3 salários mínimos
Casal,Hoteis,São Paulo - SP,2021-06-03,2021-06-08,986.58,Superior Completo,Visitar familiares,Empresário/Profissional Liberal,Turista fiel premium,Mais de 10 salários mínimos
Família com crianças,Pontos Turisticos,São José do Rio Preto - SP,2021-12-13,2021-12-19,224.41,Superior Completo,Visitar familiares,Assalariado,Turista econômico,Até 3 salários mínimos
Família com crianças,Centros de Evento,São Paulo - SP,2021-02-21,2021-02-25,672.49,Superior Completo,Lazer,Servidor Público,Casal de fim de semana,6 a 10 salários mínimos
Casal,Hoteis,São Paulo - SP,2021-08-25,2021-08-29,238.81,Ensino Médio,Negócios,Empresário/Profissional Liberal,Turista Corporativo,Até 3 salários mínimos
Família com crianças,Parques de Entretenimento,São Paulo - SP,2021-12-29,2022-01-04,624.73,Superior Completo,Lazer,CLT,Familia de parques aquaticos,6 a 10 salários mínimos
Família com crianças,Hoteis,São Paulo - SP,2021-07-24,2021-07-30,799.14,Ensino Médio,Lazer,Empresário/Profissional Liberal,Familia de parques aquaticos,6 a 10 salários mínimos
Família com crianças,Hoteis,Ribeirão Preto - SP,2021-07-15,2021-07-21,1832.94,Pós-graduação,Lazer,Estudante,Familia de parques aquaticos,Até 3 salários mínimos
Família com crianças,Pontos Culturais,São José do Rio Preto - SP,2021-02-17,2021-02-24,115.96,Superior Completo,Visitar familiares,CLT,Turista econômico,Até 3 salários mínimos
Família com crianças,Pontos Turisticos,São Paulo - SP,2021-02-17,2021-02-24,239.36,Superior Completo,Lazer,Empresário/Profissional Liberal,Familia de parques aquaticos,6 a 10 salários mínimos
Casal,Pontos Turisticos,Belo Horizonte - MG,2021-12-18,2021-12-23,345.06,Superior Incompleto,Lazer,Aposentado,Familia de parques aquaticos,3 a 6 salários mínimos
Grupo de amigos,Hoteis,São Paulo - SP,2021-08-20,2021-08-27,608.02,Ensino Médio,Eventos,Estudante,Turista de Evento,6 a 10 salários mínimos
Casal,Hoteis,São Paulo - SP,2021-12-28,2022-01-03,297.6,Superior Incompleto,Lazer,Estudante,Familia de parques aquaticos,3 a 6 salários mínimos
Família com crianças,Hoteis,Ribeirão Preto - SP,2021-12-25,2021-12-30,1836.6,Pós-graduação,Visitar familiares,Empresário/Profissional Liberal,Turista fiel premium,Até 3 salários mínimos
Sozinho,Parques de Entretenimento,Belo Horizonte - MG,2021-07-14,2021-07-19,537.43,Superior Completo,Lazer,Servidor Público,Familia de parques aquaticos,Mais de 10 salários mínimos
Sozinho,Centros de Evento,São Paulo - SP,2021-05-02,2021-05-04,618.48,Pós-graduação,Saúde/Bem-estar,Empresário/Profissional Liberal,Casal de fim de semana,6 a 10 salários mínimos
Grupo de amigos,Pontos Culturais,São Paulo - SP,2021-08-21,2021-08-26,293.54,Superior Completo,Eventos,Servidor Público,Turista de Evento,Até 3 salários mínimos
Casal,Hoteis,Curitiba - PR,2021-02-12,2021-02-14,263.59,Superior Incompleto,Lazer,Estudante,Casal de fim de semana,6 a 10 salários mínimos
Família com crianças,Parques Aquáticos,Ribeirão Preto - SP,2021-07-30,2021-08-05,700.67,Superior Completo,Lazer,Servidor Público,Familia de parques aquaticos,6 a 10 salários mínimos
Grupo de amigos,Restaurantes,São Paulo - SP,2021-07-04,2021-07-08,627.06,Superior Completo,Eventos,CLT,Familia de parques aquaticos,3 a 6 salários mínimos
Sozinho,Hoteis,Belo Horizonte - MG,2021-12-21,2021-12-25,644.11,Ensino Médio,Lazer,Empresário/Profissional Liberal,Familia de parques aquaticos,Mais de 10 salários mínimos
Família com crianças,Pontos Culturais,Ribeirão Preto - SP,2021-01-22,2021-01-30,137.67,Ensino Médio,Visitar familiares,Servidor Público,Turista econômico,Mais de 10 salários mínimos
Casal,Centros de Evento,São Paulo - SP,2021-09-08,2021-09-09,439.01,Superior Incompleto,Lazer,Servidor Público,Casal de fim de semana,3 a 6 salários mínimos
Casal,Hoteis,Belo Horizonte - MG,2021-01-21,2021-01-25,1099.44,Pós-graduação,Visitar familiares,Aposentado,Turista fiel premium,3 a 6 salários mínimos
Grupo de amigos,Parques de Entretenimento,Belo Horizonte - MG,2021-08-19,2021-08-26,210.48,Pós-graduação,Eventos,Assalariado,Turista de Evento,Até 3 salários mínimos
Família com crianças,Parques de Entretenimento,Belo Horizonte - MG,2021-08-29,2021-09-05,237.77,Superior Completo,Visitar familiares,CLT,Turista econômico,Até 3 salários mínimos
Casal,Hoteis,Curitiba - PR,2021-05-23,2021-05-26,589.89,Superior Completo,Lazer,Empresário/Profissional Liberal,Casal de fim de semana,Mais de 10 salários mínimos
Grupo de amigos,Parques de Entretenimento,São Paulo - SP,2021-08-20,2021-08-27,352.28,Superior Incompleto,Eventos,Assalariado,Turista de Evento,3 a 6 salários mínimos
Família com crianças,Hoteis,São Paulo - SP,2021-12-10,2021-12-15,474.49,Superior Completo,Lazer,Empresário/Profissional Liberal,Familia de parques aquaticos,6 a 10 salários mínimos
Sozinho,Hoteis,Ribeirão Preto - SP,2021-03-08,2021-03-10,241.05,Pós-graduação,Negócios,Servidor Público,Turista Corporativo,Até 3 salários mínimos
Família com crianças,Parques de Entretenimento,Curitiba - PR,2021-07-11,2021-07-18,686.47,Superior Completo,Lazer,Assalariado,Familia de parques aquaticos,6 a 10 salários mínimos
Família com crianças,Hoteis,São Paulo - SP,2021-12-25,2021-12-30,528.62,Ensino Médio,Lazer,Aposentado,Familia de parques aquaticos,3 a 6 salários mínimos
Família com crianças,Hoteis,Belo Horizonte - MG,2021-12-26,2021-12-31,977.09,Pós-graduação,Visitar familiares,Aposentado,Turista fiel premium,Mais de 10 salários mínimos
Família com crianças,Pontos Turisticos,São José do Rio Preto - SP,2021-07-30,2021-08-05,220.21,Pós-graduação,Visitar familiares,Aposentado,Turista econômico,Até 3 salários mínimos
Família com crianças,Hoteis,São José do Rio Preto - SP,2022-01-01,2022-01-06,1096.69,Pós-graduação,Visitar familiares,Servidor Público,Turista fiel premium,Mais de 10 salários mínimos
Família com crianças,Parques de Entretenimento,Campinas - SP,2021-07-05,2021-07-10,692.88,Ensino Médio,Lazer,Estudante,Familia de parques aquaticos,6 a 10 salários mínimos
Família com crianças,Parques Aquáticos,Belo Horizonte - MG,2021-12-01,2021-12-08,779.96,Superior Completo,Lazer,Aposentado,Familia de parques aquaticos,6 a 10 salários mínimos
Família com crianças,Centros de Evento,Belo Horizonte - MG,2021-01-16,2021-01-20,684.11,Superior Completo,Lazer,CLT,Familia de parques aquaticos,6 a 10 salários mínimos
Grupo de amigos,Hoteis,Campinas - SP,2021-08-21,2021-08-26,513.61,Superior Completo,Eventos,Servidor Público,Turista de Evento,6 a 10 salários mínimos
Família com crianças,Pontos Turisticos,Ribeirão Preto - SP,2021-11-18,2021-11-24,1219.95,Pós-graduação,Visitar familiares,Servidor Público,Turista econômico,Mais de 10 salários mínimos
Casal,Parques Aquáticos,Curitiba - PR,2021-07-19,2021-07-26,138.44,Superior Incompleto,Visitar familiares,Assalariado,Turista econômico,Até 3 salários mínimos
Grupo de amigos,Restaurantes,Ribeirão Preto - SP,2021-01-22,2021-01-29,700.26,Superior Completo,Lazer,Empresário/Profissional Liberal,Familia de parques aquaticos,Até 3 salários mínimos
Sozinho,Hoteis,São Paulo - SP,2021-01-22,2021-01-25,199.23,Superior Incompleto,Negócios,Aposentado,Turista Corporativo,Até 3 salários mínimos
