Motivo da viagem,Acompanhantes por faixa etária,Atrativos visitados,Data de chegada,Data de partida,Cidade e estado de origem,Grau de escolaridade,Ocupação profissional,Renda familiar,Gasto médio diário em Olímpia,Perfil_Latente_Gerador
Visitar familiares,Família com crianças,Conhecer pontos turísticos principais,2025-07-05,2025-07-13,Ribeirão Preto - SP,Ensino Médio,Servidor Público,Até 3 salários mínimos,197.27,Turista econômico
Lazer,Família com crianças,Parques aquáticos,2025-04-04,2025-04-08,São Paulo - SP,Pós-graduação,Aposentado,6 a 10 salários mínimos,711.29,Familia de parques aquaticos
Lazer,Família com crianças,Parques aquáticos,2025-01-27,2025-02-01,São Paulo - SP,Superior Completo,Assalariado,6 a 10 salários mínimos,465.04,Familia de parques aquaticos
Negócios,Sozinho,Hoteis,2025-04-29,2025-05-03,Curitiba - PR,Ensino Médio,CLT,Até 3 salários mínimos,200.86,Turista Corporativo
Lazer,Família com crianças,Parques aquáticos,2025-01-09,2025-01-15,São Paulo - SP,Superior Completo,Estudante,3 a 6 salários mínimos,511.93,Familia de parques aquaticos
Lazer,Grupo de amigos,Parques aquáticos,2025-07-06,2025-07-12,São Paulo - SP,Superior Completo,Servidor Público,6 a 10 salários mínimos,477.17,Familia de parques aquaticos
Visitar familiares,Grupo de amigos,Hoteis,2026-01-01,2026-01-03,Ribeirão Preto - SP,Superior Completo,Estudante,6 a 10 salários mínimos,1788.17,Turista fiel premium
Eventos,Grupo de amigos,Participar de eventos da cidade,2025-08-18,2025-08-25,São Paulo - SP,Superior Incompleto,Aposentado,3 a 6 salários mínimos,329.96,Turista de Evento
Visitar familiares,Família com crianças,Conhecer pontos turísticos principais,2025-07-25,2025-08-03,São Paulo - SP,Ensino Médio,Empresário/Profissional Liberal,Mais de 10 salários mínimos,109.36,Turista econômico
Saúde/Bem-estar,Grupo de amigos,Conhecer pontos turísticos principais,2025-12-14,2025-12-21,São Paulo - SP,Superior Incompleto,Empresário/Profissional Liberal,Até 3 salários mínimos,160.22,Turista econômico
Lazer,Família com crianças,Parques aquáticos,2025-07-29,2025-08-05,Curitiba - PR,Superior Incompleto,Servidor Público,6 a 10 salários mínimos,310.43,Familia de parques aquaticos
Lazer,Grupo de amigos,Parques aquáticos,2025-11-19,2025-11-26,São José do Rio Preto - SP,Pós-graduação,Servidor Público,6 a 10 salários mínimos,505.95,Familia de parques aquaticos
Visitar familiares,Casal,Hoteis,2026-01-01,2026-01-03,Belo Horizonte - MG,Pós-graduação,Servidor Público,Mais de 10 salários mínimos,1288.16,Turista fiel premium
Lazer,Casal,"Restaurantes, parques, saídas à noite",2025-04-03,2025-04-06,Belo Horizonte - MG,Ensino Médio,Empresário/Profissional Liberal,6 a 10 salários mínimos,771.88,Casal de fim de semana
Lazer,Família com crianças,Parques aquáticos,2025-10-26,2025-10-27,São Paulo - SP,Superior Completo,CLT,6 a 10 salários mínimos,572.09,Casal de fim de semana
Visitar familiares,Grupo de amigos,Parques aquáticos,2025-06-05,2025-06-09,São Paulo - SP,Pós-graduação,Empresário/Profissional Liberal,Mais de 10 salários mínimos,1330.55,Turista fiel premium
Lazer,Família com crianças,Parques aquáticos,2025-01-22,2025-01-26,Campinas - SP,Superior Completo,Servidor Público,6 a 10 salários mínimos,744.48,Familia de parques aquaticos
Lazer,Família com crianças,Participar de eventos da cidade,2025-08-16,2025-08-20,Goiânia - GO,Ensino Médio,CLT,6 a 10 salários mínimos,572.02,Familia de parques aquaticos
Visitar familiares,Casal,"Restaurantes, parques, saídas à noite",2025-07-03,2025-07-08,São Paulo - SP,Pós-graduação,Empresário/Profissional Liberal,Mais de 10 salários mínimos,982.11,Turista fiel premium
Lazer,Casal,Parques aquáticos,2025-11-13,2025-11-17,Ribeirão Preto - SP,Superior Completo,Assalariado,3 a 6 salários mínimos,456.96,Casal de fim de semana
Visitar familiares,Sozinho,Hoteis,2025-10-10,2025-10-15,Campinas - SP,Pós-graduação,Empresário/Profissional Liberal,Mais de 10 salários mínimos,1168.07,Turista fiel premium
Negócios,Família com crianças,Hoteis,2025-11-10,2025-11-14,São José do Rio Preto - SP,Pós-graduação,Aposentado,Até 3 salários mínimos,190.2,Turista Corporativo
Eventos,Família com crianças,Parques aquáticos,2025-01-31,2025-02-07,São Paulo - SP,Superior Incompleto,Servidor Público,6 a 10 salários mínimos,503.25,Familia de parques aquaticos
Lazer,Família com crianças,Parques aquáticos,2025-02-15,2025-02-22,Curitiba - PR,Superior Completo,Aposentado,6 a 10 salários mínimos,760.17,Familia de parques aquaticos
Visitar familiares,Família com crianças,Parques aquáticos,2025-07-21,2025-07-29,São Paulo - SP,Superior Incompleto,Empresário/Profissional Liberal,Mais de 10 salários mínimos,1083.08,Turista econômico
Lazer,Família com crianças,Parques aquáticos,2025-07-18,2025-07-22,São Paulo - SP,Superior Completo,CLT,3 a 6 salários mínimos,560.65,Familia de parques aquaticos
Negócios,Família com crianças,Hoteis,2025-08-08,2025-08-10,Goiânia - GO,Pós-graduação,Estudante,Até 3 salários mínimos,211.6,Turista Corporativo
Lazer,Família com crianças,Parques aquáticos,2025-12-08,2025-12-14,Campinas - SP,Superior Incompleto,Servidor Público,3 a 6 salários mínimos,641.29,Familia de parques aquaticos
Lazer,Família com crianças,Parques aquáticos,2025-01-29,2025-02-03,Ribeirão Preto - SP,Superior Completo,Servidor Público,6 a 10 salários mínimos,412.13,Familia de parques aquaticos
Lazer,Casal,Parques aquáticos,2025-07-22,2025-07-26,Belo Horizonte - MG,Superior Incompleto,Empresário/Profissional Liberal,6 a 10 salários mínimos,632.56,Familia de parques aquaticos
Lazer,Grupo de amigos,Conhecer pontos turísticos principais,2025-01-29,2025-02-03,Goiânia - GO,Superior Completo,Empresário/Profissional Liberal,6 a 10 salários mínimos,688.46,Familia de parques aquaticos
Eventos,Família com crianças,Conhecer pontos turísticos principais,2025-01-08,2025-01-16,São Paulo - SP,Ensino Médio,Assalariado,Até 3 salários mínimos,159.9,Turista econômico
Visitar familiares,Casal,Conhecer pontos turísticos principais,2025-07-19,2025-07-26,Curitiba - PR,Ensino Médio,Empresário/Profissional Liberal,Até 3 salários mínimos,107.7,Turista econômico
Negócios,Família com crianças,Conhecer pontos turísticos principais,2025-07-23,2025-07-30,São Paulo - SP,Superior Completo,Servidor Público,Até 3 salários mínimos,181.19,Turista econômico
Saúde/Bem-estar,Família com crianças,Parques aquáticos,2025-07-30,2025-08-06,Belo Horizonte - MG,Superior Incompleto,Empresário/Profissional Liberal,6 a 10 salários mínimos,722.38,Familia de parques aquaticos
Eventos,Família com crianças,Parques aquáticos,2025-12-29,2026-01-03,São Paulo - SP,Superior Completo,Assalariado,6 a 10 salários mínimos,707.39,Familia de parques aquaticos
Negócios,Sozinho,Hoteis,2025-02-14,2025-02-17,São José do Rio Preto - SP,Ensino Médio,Empresário/Profissional Liberal,6 a 10 salários mínimos,196.4,Turista Corporativo
Visitar familiares,Família com crianças,Conhecer pontos turísticos principais,2025-07-02,2025-07-10,Ribeirão Preto - SP,Superior Completo,CLT,Até 3 salários mínimos,141.18,Turista econômico
Lazer,Família com crianças,Participar de eventos da cidade,2025-04-06,2025-04-08,São Paulo - SP,Superior Incompleto,Estudante,6 a 10 salários mínimos,553.77,Casal de fim de semana
Lazer,Família com crianças,Parques aquáticos,2025-12-14,2025-12-18,São Paulo - SP,Ensino Médio,Estudante,6 a 10 salários mínimos,772.38,Familia de parques aquaticos
Negócios,Casal,Hoteis,2025-10-20,2025-10-24,São José do Rio Preto - SP,Superior Incompleto,Estudante,3 a 6 salários mínimos,177.98,Turista Corporativo
Visitar familiares,Família com crianças,Participar de eventos da cidade,2025-01-27,2025-02-04,São Paulo - SP,Superior Incompleto,Estudante,6 a 10 salários mínimos,209.97,Turista econômico
Lazer,Família com crianças,Parques aquáticos,2025-10-14,2025-10-21,Goiânia - GO,Ensino Médio,Servidor Público,Mais de 10 salários mínimos,148.67,Familia de parques aquaticos
Lazer,Casal,Conhecer pontos turísticos principais,2026-01-01,2026-01-02,Goiânia - GO,Pós-graduação,Servidor Público,Mais de 10 salários mínimos,1363.09,Casal de fim de semana
Negócios,Sozinho,Hoteis,2025-10-30,2025-11-01,Belo Horizonte - MG,Ensino Médio,Servidor Público,Até 3 salários mínimos,205.05,Turista Corporativo
Lazer,Família com crianças,Parques aquáticos,2025-01-15,2025-01-21,São Paulo - SP,Superior Completo,Estudante,6 a 10 salários mínimos,723.32,Familia de parques aquaticos
Lazer,Sozinho,"Restaurantes, parques, saídas à noite",2025-04-05,2025-04-09,São José do Rio Preto - SP,Superior Completo,Estudante,6 a 10 salários mínimos,702.23,Casal de fim de semana
Negócios,Sozinho,Participar de eventos da cidade,2025-07-14,2025-07-16,Campinas - SP,Ensino Médio,Empresário/Profissional Liberal,Até 3 salários mínimos,243.56,Turista Corporativo
Eventos,Grupo de amigos,Participar de eventos da cidade,2025-08-21,2025-08-28,Campinas - SP,Superior Incompleto,CLT,Até 3 salários mínimos,257.18,Turista de Evento
Lazer,Família com crianças,Conhecer pontos turísticos principais,2025-12-01,2025-12-08,Campinas - SP,Ensino Médio,Assalariado,6 a 10 salários mínimos,741.01,Familia de parques aquaticos
Lazer,Casal,Parques aquáticos,2025-05-13,2025-05-15,São José do Rio Preto - SP,Pós-graduação,Aposentado,3 a 6 salários mínimos,1364.8,Casal de fim de semana
Lazer,Família com crianças,Parques aquáticos,2025-07-02,2025-07-09,Belo Horizonte - MG,Superior Completo,Assalariado,6 a 10 salários mínimos,725.43,Familia de parques aquaticos
Lazer,Sozinho,"Restaurantes, parques, saídas à noite",2025-03-31,2025-04-03,Ribeirão Preto - SP,Superior Completo,Empresário/Profissional Liberal,6 a 10 salários mínimos,780.25,Casal de fim de semana
Lazer,Família com crianças,Parques aquáticos,2025-07-28,2025-08-02,São Paulo - SP,Ensino Médio,Empresário/Profissional Liberal,Mais de 10 salários mínimos,1498.84,Familia de parques aquaticos
Lazer,Casal,"Restaurantes, parques, saídas à noite",2025-11-15,2025-11-18,Belo Horizonte - MG,Superior Completo,Aposentado,6 a 10 salários mínimos,732.03,Casal de fim de semana
Visitar familiares,Casal,Hoteis,2025-04-21,2025-04-23,Curitiba - PR,Superior Completo,Empresário/Profissional Liberal,Mais de 10 salários mínimos,1969.13,Turista fiel premium
Lazer,Família com crianças,Conhecer pontos turísticos principais,2025-07-09,2025-07-17,Ribeirão Preto - SP,Ensino Médio,Empresário/Profissional Liberal,Até 3 salários mínimos,202.93,Turista econômico
Negócios,Família com crianças,Hoteis,2025-05-07,2025-05-10,Goiânia - GO,Pós-graduação,Aposentado,Mais de 10 salários mínimos,1927.47,Turista Corporativo
Negócios,Sozinho,Hoteis,2025-11-24,2025-11-28,Ribeirão Preto - SP,Ensino Médio,Servidor Público,Até 3 salários mínimos,226.61,Turista Corporativo
Lazer,Casal,Parques aquáticos,2025-07-22,2025-07-26,Belo Horizonte - MG,Ensino Médio,Aposentado,6 a 10 salários mínimos,622.45,Familia de parques aquaticos
Lazer,Família com crianças,Parques aquáticos,2025-07-15,2025-07-21,São Paulo - SP,Superior Completo,Aposentado,3 a 6 salários mínimos,512.65,Familia de parques aquaticos
Visitar familiares,Família com crianças,Conhecer pontos turísticos principais,2025-12-03,2025-12-11,Belo Horizonte - MG,Superior Incompleto,Empresário/Profissional Liberal,3 a 6 salários mínimos,425.16,Turista econômico
Lazer,Família com crianças,Parques aquáticos,2025-01-27,2025-02-03,Goiânia - GO,Superior Completo,Servidor Público,6 a 10 salários mínimos,473.32,Familia de parques aquaticos
Visitar familiares,Família com crianças,Conhecer pontos turísticos principais,2025-07-10,2025-07-19,São Paulo - SP,Superior Incompleto,Estudante,6 a 10 salários mínimos,629.33,Turista econômico
Lazer,Grupo de amigos,Parques aquáticos,2025-12-18,2025-12-24,São Paulo - SP,Superior Completo,Estudante,6 a 10 salários mínimos,775.42,Familia de parques aquaticos
Visitar familiares,Família com crianças,Conhecer pontos turísticos principais,2025-06-24,2025-07-01,São Paulo - SP,Superior Completo,CLT,Até 3 salários mínimos,173.77,Turista econômico
Visitar familiares,Família com crianças,Conhecer pontos turísticos principais,2025-01-07,2025-01-14,Curitiba - PR,Ensino Médio,Empresário/Profissional Liberal,Até 3 salários mínimos,193.16,Turista econômico
Lazer,Grupo de amigos,"Restaurantes, parques, saídas à noite",2025-05-02,2025-05-04,São Paulo - SP,Superior Completo,Estudante,6 a 10 salários mínimos,471.54,Casal de fim de semana
Lazer,Sozinho,Participar de eventos da cidade,2025-01-01,2025-01-07,São Paulo - SP,Superior Completo,Aposentado,Até 3 salários mínimos,552.04,Familia de parques aquaticos
